"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"LFCSP_WQ";1;"AD6232";;;
2;"MP?";"Plantilla_EDU-CIAA";1;"Plantilla_EDU-CIAA";;;
3;"C1";"C_0805";1;"1nF";;;
4;"C2";"C_0805";1;"10nF";;;
5;"C3";"C_0805";1;"1.5nF";;;
6;"C4,C5";"C_0805";2;"0.33uF";;;
7;"C6,C7";"C_0805";2;"0.1uF";;;
8;"D1";"LED_0805";1;"LED";;;
9;"F1,F2,F3,F4";"Fiducial_1mm";4;"FIDUCIAL";;;
10;"P2";"Conn_Poncho_Derecha";1;"Conn_Poncho2P_2x_20x2";;;
11;"R1,R19";"R_0805";2;"0";;;
12;"R2,R20";"R_0805";2;"No montar";;;
13;"R3";"R_0805";1;"10M ";;;
14;"R4,R13,R14,R16,R17";"R_0805";5;"10M";;;
15;"R5,R6";"R_0805";2;"180K";;;
16;"R7";"R_0805";1;"360K";;;
17;"R8,R9,R12";"R_0805";3;"1M";;;
18;"R11";"R_0805";1;"100K";;;
19;"R15";"R_0805";1;"1.4M";;;
20;"R22";"R_0805";1;"1K";;;
21;"P1";"bornier3";1;"CONN_01X03";;;
