Source:,MIDI.sch,,,,,,,,,,,,
Date:,lun 17 jul 2017 17:52:08 ART,,,,,,,,,,,,
Tool:,Eeschema 4.0.6-e0-6349~53~ubuntu16.04.1,,,,,,,,,,,,
Generator:,/home/cmancon/CESE/DCI/Ejercicio_2/ej2tools/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,134,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desc,Description,Digikey#,Manf,Manf#,Mouser#,kicost.v1:Manf#
,,C1,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C2,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C3,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C4,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C5,10nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 10000PF 50V X7R 0805,CAP CER 10000PF 50V X7R 0805,311-1136-1-ND,Yageo,CC0805KRX7R9BB103,603-CC805KRX7R9BB103,
,,C6,10nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 10000PF 50V X7R 0805,CAP CER 10000PF 50V X7R 0805,311-1136-1-ND,Yageo,CC0805KRX7R9BB103,603-CC805KRX7R9BB103,
,,C7,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C8,100nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 0.1UF 50V X7R 0805,CAP CER 0.1UF 50V X7R 0805,311-1140-1-ND,Yageo,CC0805KRX7R9BB104,603-CC805KRX7R9BB104,
,,C9,10nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 10000PF 50V X7R 0805,CAP CER 10000PF 50V X7R 0805,311-1136-1-ND,Yageo,CC0805KRX7R9BB103,603-CC805KRX7R9BB103,
,,C10,10nF,MIDI:C,MIDI:C_0805_HandSoldering,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,CAP CER 10000PF 50V X7R 0805,CAP CER 10000PF 50V X7R 0805,311-1136-1-ND,Yageo,CC0805KRX7R9BB103,603-CC805KRX7R9BB103,
