Source:,E:/Embebidos/Materias/Diseño de PCB/Proyectos/PonchoEDUCIAA_WIFI_BLT/PonchoEDUCIAA_WIFI_BLT.sch
Date:,01/08/2017 09:13:50 p.m.
Tool:,Eeschema 4.0.6
Generator:,E:/Embebidos/Materias/Dise�o de PCB/Proyectos/PonchoEDUCIAA_WIFI_BLT/tools/bom_csv_grouped_by_value.py
Component Count:,24

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desc,Descripcion,Digikey#,Manf,Manf#,Mouser#
,,C1,"0,1uF",device:C_Small,Capacitors_SMD:C_0603_HandSoldering,http://datasheets.avx.com/cx5r.pdf,0.1µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric),,478-5266-1-ND,AVX Corporation,02016D104KAT2A,581-02016D104KAT2A
,,C2,10uF,device:C_Small,Capacitors_SMD:C_0603_HandSoldering,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,10µF ±10% 6.3V Ceramic Capacitor X5R 0805 (2012 Metric),,490-3340-1-ND,Murata Electronics North America,GRM219R60J106KE19D,81-GRM219R60J106KE9D
,,C3,1nF,device:C_Small,Capacitors_SMD:C_0603_HandSoldering,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H101JA01-01.pdf,"100pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",,490-5922-1-ND,Murata Electronics North America,GRM1555C1H101JA01D,81-GRM1555C1H101JA1D
,,C4,"0,1nF",device:C_Small,Capacitors_SMD:C_0603_HandSoldering,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,"10pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",,490-5921-1-ND,Murata Electronics North America,GRM1555C1H100JA01D,81-GRM1555C1H100JA1D
,,C5,1nF,device:C_Small,Capacitors_SMD:C_0603_HandSoldering,http://datasheets.avx.com/C0GNP0-Dielectric.pdf,"100pF ±5% 10V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",,478-1026-1-ND,AVX Corporation,0201ZA101JAT2A,581-0201ZA101JAT2A
,,D1,LED_Rojo,device:LED_Small,LEDs:LED_0805,http://www.osram-os.com/Graphics/XPic8/00078896_0.pdf,LED RED DIFFUSED 0805 SMD,,475-1278-1-ND,OSRAM Opto Semiconductors Inc.,LS R976-NR-1,720-LSR976-NR-1
,,D2,LED_Verde,device:LED_Small,LEDs:LED_0805,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,LED GREEN DIFFUSED 0805 SMD,,475-1410-1-ND,OSRAM Opto Semiconductors Inc.,LG R971-KN-1,720-LGR971-KN-1
,,D3,LED_Amarillo,device:LED_Small,LEDs:LED_0805,http://www.osram-os.com/Graphics/XPic9/00078941_0.pdf,LED YELLOW DIFFUSED 0805 SMD,,475-2560-1-ND,OSRAM Opto Semiconductors Inc.,LY R976-PS-36,720-LYR976-PS-36
,,F1,FIDUCIAL,PonchoEDUCIAA_WIFI_BLT-cache:FIDUCIAL,PonchoEDUCIAA_WIFI_BLTH:Fiducial_1mm,,,FIDUCIAL,,,,
